Year,Residential_GWh,Residential_No,Farm_GWh,Farm_No,Commercial_GWh,Commercial_No,Industrial_GWh,Industrial_No
1985,5325.9,767439,1388.7,89586,8802.9,109416,11945.4,22518
1986,5333.2,779679,1401.4,90849,9288.6,109090,12527.5,23957
1987,5286.0,789108,1404.3,91911,9554.1,113073,13637.6,24065
1988,5531.8,802971,1528.9,92068,10092.4,114043,15448.0,25410
1989,5773.7,817599,1598.5,78651,10355.6,123191,16188.0,28907
1990,5873.9,836776,1637.2,79829,10663.5,125233,17064.5,29498
1991,6044.1,846998,1607.8,80228,10954.5,123133,18657.9,31621
1992,5992.6,862066,1595.0,94829,10885.5,93616,20054.6,55018
1993,6188.3,854843,1561.4,97770,11050.3,129817,20834.7,17649
1994,6267.7,872722,1664.7,93876,11435.7,123974,22503.4,29751
1995,6267.8,891148,1631.2,94743,11449.5,129116,23620.2,32997
1996,6543.4,922203,1793.0,95403,11856.5,136059,24947.8,31531
1997,6502.2,905124,1797.5,88915,12239.5,141445,25885.7,32226
1998,6535.8,937510,1707.5,77905,12853.5,150244,26432.5,33673
1999,6766.8,969733,1732.7,90075,12953.3,142615,26438.2,33487
2000,7113.9,1002007,1810.2,71721,12777.1,138419,27782.6,33101
2001,6903.4,1014970,1770.0,83536,10478.1,135392,29138.4,35315
2002,7205.7,1046555,1701.4,77866,11171.4,139446,28650.4,36508
2003,7559.9,1086927,1774.7,78986,11099.5,140537,27784.4,37363
2004,7559.4,1114637,1733.4,79359,11671.7,143134,28441.8,36972
2005,7769.1,1146486,1705.1,78531,12080.5,147047,29054.6,36064
2006,8232.0,1191538,1767.4,78754,12715.1,141687,29016.5,35532
2007,8558.1,1227001,1805.6,79217,13134.0,145643,28340.3,35925
2008,8832.8,1257346,1803.4,80048,13526.2,149728,27878.2,36246
2009,9090.2,1281296,1900.2,81247,13534.4,160796,26803.0,36350
2010,9070.8,1305451,1707.9,82505,13748.4,163722,27076.1,36646
2011,9332.88,1323804,1828.0,82752,14207.465799999998,165730,27293.884199999997,37027
2012,9411.949579830945,1343840,1800.424,83067,14596.359891107282,167633,27474.456313998046,37355
2013,9677.854451446663,1373960,1836.1663867489995,83368,14778.44018489221,169980,27838.293260928513,37807
2014,9927.02114935497,1405894,1865.0354107161124,83816,15155.149213239578,172608,28432.28049186154,37607
2015,9892.485262024631,1441857,1908.5978776826662,84093,15000.152164214336,175104,27898.31162217323,37122
2016,9913.3090337659,1471687,1887.256,84000,14794.081895122601,177468,27248.709820000004,36492
2017,10067.75039923215,1494506,2037.2570688734554,83834,15058.883462037762,179349,27665.074820878326,36109
